what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454658980253
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454659006550
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454659008625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659133885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659191755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659200912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659207814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1454659212806
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1454659219850
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1454659221381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659233740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659412772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454659598474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454661436039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454661443337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692517508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692547094
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692554402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692565199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692870168
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454692871788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693459134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693460531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693461637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693474063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693481025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693499590
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693501445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693502143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693527078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693530437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693532138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693533310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693650777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693692483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693719764
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454693726817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701246090
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701248847
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701249373
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701266737
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701303080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701304668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701318824
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701325499
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701325833
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701327841
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701328144
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701330317
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701330479
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701342039
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701342338
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701344875
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701345216
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454701353449
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701353803
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454701480973
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701520597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701566525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701584659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701596006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701601446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454701735249
