what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1454654210854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654224805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654270641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1454654272095
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1454654272874
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454654280926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654282634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654282712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654283243
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654293008
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1454654296941
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1454654298021
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454654304200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654306075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654306265
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454654310643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654312328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454654312501
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1454654316006
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1454654327398
