what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454621904088
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454621905877
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454621907329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454622296081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454623339792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454623352648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454623354070
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454623405707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454623461658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624672748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624672841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624675414
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454624677692
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454624681001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624684396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624687614
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624688175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624708454
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624712458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624719692
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454624720787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454626044022
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454626045772
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454626960926
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454626964972
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454626981472
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454626982742
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1454626985932
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1454627012116
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1454627012769
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1454627043535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454627225668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454627284563
