what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1455318572175
processors,sysinfo,,,"4",1455318572175
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455318572175
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1455318572175
java.specification.name,sysinfo,,,"Java Platform API Specification",1455318572175
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455318572175
java.specification.version,sysinfo,,,"1.6",1455318572175
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1455318572175
java.version,sysinfo,,,"1.6.0_45",1455318572175
java.vm.info,sysinfo,,,"mixed mode",1455318572175
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455318572175
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455318572175
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455318572175
java.vm.specification.version,sysinfo,,,"1.0",1455318572175
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1455318572175
java.vm.version,sysinfo,,,"20.45-b01",1455318572175
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1455318572190
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1455318572355
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1455318572511
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1455318572761
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1455318572855
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1455318572886
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1455318573058
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1455318573558
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455318573589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455318574074
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1455318574121
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1455318586944
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1455318586991
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1455318587038
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1455318587194
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1455318587194
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1455318589028
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1455318589715
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1455318589794
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1455318589825
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1455318589840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1455318597325
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1455318598757
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1455318601148
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1455318606325
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455318610830
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455318611049
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1455318616568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1455318620749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455318627405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455318629971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455318631893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455319644043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455319644826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320052159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320058014
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320784997
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1455320798064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320800695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320828769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455320829550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455321177381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455321177803
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455323401780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455323490469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455411918960
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1455411933947
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1455411955733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1455411968334
