what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1454618573069
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618576776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618591299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618592462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618600284
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1454618604800
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1454618604866
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1454618604899
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1454618604926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618642167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618642948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618644217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618650505
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454618657165
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454618657798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618660085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618671848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618678679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1454618680824
